;Gyro X;Gyro Y;Gyro Z;;Acc X;Acc Y;Acc Z;;BAR
Data 1;-4951;4665;-36909;-12398,33333;52019;-59021;-1057;-2686,333333;-241
Data 2;32939;62378;56840;50719;61008;28206;34797;41337;26839
Data 3;64334;26908;57466;49569,33333;-61366;58244;-13430;-5517,333333;29128
Data 4;-29644;-37134;13761;-17672,33333;-40861;54464;-59933;-15443,33333;-26728
Data 5;-27546;40318;-54915;-14047,66667;758;13660;-37388;-7656,666667;2729
Data 6;23344;-47929;37076;4163,666667;51704;-29781;-3092;6277;58473
Data 7;-16117;-65379;32853;-16214,33333;64363;25971;-64885;8483;4811
Data 8;-20051;27308;53313;20190;37688;-39011;12996;3891;-45804
Data 9;-65187;-65066;-24999;-51750,66667;37105;-48737;9815;-605,6666667;-8011
Data 10;42982;-38254;-51501;-15591;61443;56149;31763;49785;64450
Data 11;-16268;38469;-26539;-1446;-36016;20580;4630;-3602;-8931
Data 12;-4429;32769;-28230;36,66666667;58025;-63594;20746;5059;-12788
Data 13;36512;38332;60220;45021,33333;-39110;8304;38835;2676,333333;-50104
Data 14;-35850;40595;3757;2834;-14699;-3533;-49314;-22515,33333;61596
Data 15;565;17680;42466;20237;26661;25093;-58008;-2084,666667;-44539
Data 16;13074;21997;56962;30677,66667;-9944;-27336;51908;4876;-32545
Data 17;59545;27862;-38134;16424,33333;-13954;62396;8076;18839,33333;7107
Data 18;-41114;60422;-30235;-3642,333333;-29574;-1908;-1732;-11071,33333;42164
Data 19;-39500;41058;3107;1555;64269;-47619;35954;17534,66667;39370
Data 20;43652;6969;42339;30986,66667;53350;52053;-28564;25613;32772
Data 21;29353;-37777;-63466;-23963,33333;-29223;-13012;33099;-3045,333333;-55616
Data 22;-355;47907;-33818;4578;21203;-43999;10431;-4121,666667;23241
Data 23;47758;64486;-6866;35126;-53934;8546;51769;2127;29206
Data 24;49452;-25500;-42298;-6115,333333;41417;-15334;-31530;-1815,666667;37126
Data 25;29499;-10081;-60249;-13610,33333;8464;-28826;62495;14044,33333;33240
Data 26;-9454;-40878;-274;-16868,66667;4377;20894;56104;27125;-59648
Data 27;53622;-34392;-22706;-1158,666667;59987;-61891;18118;5404,666667;-57737
Data 28;-48927;-47711;-9865;-35501;-43812;45466;-57119;-18488,33333;-26134
Data 29;33813;-39223;-11318;-5576;18409;-29592;-9128;-6770,333333;-47260
Data 30;-36483;5252;63311;10693,33333;31842;29767;-13170;16146,33333;10189
Data 31;-31059;-48637;-45573;-41756,33333;-25497;-46740;15876;-18787;-28763
Data 32;51212;55908;35305;47475;-52614;-23482;-23653;-33249,66667;64377
Data 33;-13761;22887;-40594;-10489,33333;-45388;-34140;-27168;-35565,33333;7241
Data 34;15974;-11752;12124;5448,666667;9630;61136;-36139;11542,33333;10532
Data 35;-27500;1061;-29970;-18803;810;37395;-36371;611,3333333;64614
Data 36;-17740;-41433;43909;-5088;58997;-24467;18095;17541,66667;45969
Data 37;-28476;-36029;53290;-3738,333333;-41786;28864;-2512;-5144,666667;-25425
Data 38;20564;-38039;-28314;-15263;-26279;59490;-59268;-8685,666667;-3605
Data 39;-654;50171;22932;24149,66667;19516;-29806;42838;10849,33333;58319
Data 40;-40066;6239;-50061;-27962,66667;-3256;-26189;12169;-5758,666667;1613
Data 41;34666;-3322;-14617;5575,666667;-65114;-41547;32454;-24735,66667;51766
Data 42;-16407;-6839;-48186;-23810,66667;-25608;-2993;38738;3379;-51592
Data 43;-40446;-13569;-62819;-38944,66667;-743;31497;-35801;-1682,333333;-36716
Data 44;-1046;25370;-9972;4784;52499;-7988;-97;14804,66667;38848
Data 45;-47853;-3478;4961;-15456,66667;57220;25615;-61470;7121,666667;60881
Data 46;28734;10005;-53759;-5006,666667;14047;6490;33102;17879,66667;17180
Data 47;61961;-11606;-30263;6697,333333;19109;-28213;7791;-437,6666667;-4140
Data 48;28961;61886;-19211;23878,66667;63111;36686;56743;52180;42475
Data 49;-35296;-27932;11269;-17319,66667;-33031;-2111;-43355;-26165,66667;13458
Data 50;16085;-63096;-16943;-21318;63797;28737;15889;36141;-46881
Data 51;-22260;-64072;-55979;-47437;27728;32748;-38493;7327,666667;57129
Data 52;-24739;18930;-53340;-19716,33333;-47759;-61054;-54512;-54441,66667;-54392
Data 53;-58723;-8795;21862;-15218,66667;-2463;17772;-18724;-1138,333333;4773
Data 54;15103;-28745;58264;14874;56500;50124;-56605;16673;-1400
Data 55;28066;22244;-63985;-4558,333333;-21459;4093;-20535;-12633,66667;-1188
Data 56;-53565;27260;-19913;-15406;-10319;-57558;-33124;-33667;-15442
Data 57;20705;25060;30727;25497,33333;6812;1021;-32618;-8261,666667;63973
Data 58;-62691;65005;56344;19552,66667;44007;-45923;62488;20190,66667;2796
Data 59;23464;62997;40928;42463;41499;-40679;2591;1137;-34807
Data 60;51381;36928;-38746;16521;-23011;7222;-25154;-13647,66667;-29623
Data 61;29995;-33747;-3048;-2266,666667;50507;47404;32744;43551,66667;-32267
Data 62;48157;42168;-48579;13915,33333;20677;7541;-46817;-6199,666667;16883
Data 63;35980;197;-48256;-4026,333333;-7034;-40369;-44669;-30690,66667;-8378
Data 64;-50592;-23041;61300;-4111;-40017;20314;33953;4750;44900
Data 65;52626;-24728;-59409;-10503,66667;21753;-43722;5949;-5340;-50933
Data 66;3404;-9315;-38078;-14663;13119;-9844;7429;3568;-17347
Data 67;1210;48017;39204;29477;4848;-20909;-46599;-20886,66667;18814
Data 68;-38760;49083;-53460;-14379;53857;43874;16507;38079,33333;-702
Data 69;21466;13650;-44067;-2983,666667;-30857;9279;-14049;-11875,66667;-33764
Data 70;49602;-13845;-26491;3088,666667;1635;-11842;-775;-3660,666667;-52439
Data 71;28530;38064;28222;31605,33333;-15260;-27256;24480;-6012;-59351
Data 72;61659;-37552;652;8253;-6423;46316;-43361;-1156;-26215
Data 73;-56395;65279;38506;15796,66667;-8936;46790;-34072;1260,666667;25856
Data 74;-15301;-27471;56074;4434;-45122;-35905;57476;-7850,333333;29114
Data 75;22137;1513;-26842;-1064;62632;-20538;-29201;4297,666667;-50090
Data 76;-22746;-62797;-15470;-33671;27140;40005;2526;23223,66667;56943
Data 77;-44517;-16482;38525;-7491,333333;-64322;29718;56023;7139,666667;-28404
Data 78;-62822;38290;40797;5421,666667;13192;14724;-40446;-4176,666667;-58819
Data 79;-52076;22111;18565;-3800;-21323;2086;-1050;-6762,333333;25659
Data 80;49221;-33615;43187;19597,66667;64578;-60022;65212;23256;-65294
Data 81;-10228;-40373;50055;-182;61621;-50952;-29959;-6430;23645
Data 82;-56873;56716;23852;7898,333333;-23157;-40497;38516;-8379,333333;48291
Data 83;-56192;51408;58505;17907;53603;636;10191;21476,66667;-5041
Data 84;28366;1374;-44827;-5029;39188;59236;-63144;11760;54307
Data 85;65503;17435;-43619;13106,33333;-19621;-62600;28200;-18007;-58088
Data 86;-28016;38582;18383;9649,666667;-50265;47388;-38498;-13791,66667;-29473
Data 87;-21299;59449;65526;34558,66667;-36048;-61183;-40736;-45989;-16573
Data 88;-32547;-51554;23356;-20248,33333;-61554;7631;42328;-3865;-3134
Data 89;27009;-25074;65117;22350,66667;7403;-29840;-26836;-16424,33333;-54653
Data 90;-33646;38244;-44746;-13382,66667;-19830;14954;52663;15929;-14802
Data 91;56688;58276;-7106;35952,66667;-29947;17972;57922;15315,66667;17212
Data 92;15999;54247;-1306;22980;17481;-24286;-11914;-6239,666667;-64223
Data 93;47429;-44345;-60241;-19052,33333;-51800;-40090;50541;-13783;40517
Data 94;56725;9361;27252;31112,66667;21825;-59910;39347;420,6666667;35678
Data 95;-28408;49889;31120;17533,66667;5795;-32728;-21939;-16290,66667;3086
Data 96;-57869;-52454;-7513;-39278,66667;-8029;54690;21468;22709,66667;49077
Data 97;53199;45945;-26900;24081,33333;15972;-8608;-22382;-5006;-10504
Data 98;-63752;39356;-60975;-28457;-34967;10410;52950;9464,333333;-65318
Data 99;-20503;58699;62504;33566,66667;8246;14524;-14892;2626;-22689
Data 100;-31339;-5533;28729;-2714,333333;-5252;16568;-18651;-2445;-977
Data 101;-13559;63834;46046;32107;8626;-42176;-21774;-18441,33333;-11571
Data 102;38339;-46097;49520;13920,66667;-19936;-11339;-42731;-24668,66667;20806
Data 103;34451;10483;36533;27155,66667;-62817;21792;44921;1298,666667;-61844
Data 104;17765;21020;25595;21460;-5675;40644;-30104;1621,666667;-9236
Data 105;47174;-44493;-22852;-6723,666667;39535;56242;48208;47995;53282
Data 106;50916;-20418;-10367;6710,333333;-30080;-50086;-39084;-39750;-24174
Data 107;5051;40804;-55670;-3271,666667;6402;-31313;13787;-3708;53038
Data 108;-26151;-47934;64843;-3080,666667;54475;3811;4671;20985,66667;-27467
Data 109;-43852;-24504;-22038;-30131,33333;21388;-37062;-23234;-12969,33333;28691
Data 110;59684;43326;-62837;13391;-36879;-47386;-54293;-46186;3604
Data 111;17364;2610;-742;6410,666667;-12982;15859;-62069;-19730,66667;34318
Data 112;9706;55761;37658;34375;22667;10372;-55383;-7448;-51793
Data 113;13729;-35251;-37352;-19624,66667;-64729;52254;-42886;-18453,66667;28219
Data 114;16554;8408;22979;15980,33333;-36164;2471;-22808;-18833,66667;-7155
Data 115;-53393;36860;-40948;-19160,33333;-40711;-5378;-10011;-18700;-12059
Data 116;20577;57632;53321;43843,33333;8567;-24626;26243;3394,666667;-26935
Data 117;-14368;-4159;58602;13358,33333;-61390;40942;17500;-982,6666667;-37074
Data 118;21921;-46811;-48862;-24584;-5355;32731;-17972;3134,666667;55126
Data 119;37908;54703;57625;50078,66667;-5464;23384;-9677;2747,666667;54712
Data 120;27942;65017;24986;39315;-17615;11331;-14077;-6787;34436
Data 121;-32400;29971;6358;1309,666667;-37859;23188;-31723;-15464,66667;25
Data 122;-63036;-30123;-47728;-46962,33333;-19186;-54629;47371;-8814,666667;-46381
Data 123;31271;-50811;49335;9931,666667;-5958;55843;54384;34756,33333;63338
Data 124;-10264;-6064;764;-5188;-5702;-37256;55647;4229,666667;20759
Data 125;58177;-21814;61733;32698,66667;-25951;39181;6702;6644;11540
Data 126;4279;-39273;58592;7866;-30175;-44610;-5911;-26898,66667;-63476
Data 127;44456;19055;51194;38235;-63969;-28659;-3853;-32160,33333;49735
Data 128;-65482;46619;4774;-4696,333333;-30957;-6234;-10936;-16042,33333;-19075
Data 129;17457;52440;-27156;14247;18815;45491;42635;35647;-28997
Data 130;-63958;35243;20786;-2643;-23263;-36991;60311;19;-19742
Data 131;46613;47604;-33015;20400,66667;-58930;39628;10088;-3071,333333;-27119
Data 132;21149;-45812;37592;4309,666667;54724;-24762;-11566;6132;29305
Data 133;43252;20718;-10130;17946,66667;64497;21038;-10639;24965,33333;-46565
Data 134;-59586;14788;-37211;-27336,33333;10501;26812;12516;16609,66667;-11275
Data 135;-41688;-29004;43804;-8962,666667;38839;2750;52719;31436;4338
Data 136;41522;55569;-20402;25563;-2830;1930;3436;845,3333333;36831
Data 137;54027;-47562;51617;19360,66667;23708;-20132;32206;11927,33333;-26744
Data 138;-38332;3447;58660;7925;17524;20472;12881;16959;19919
Data 139;-27744;47133;-44722;-8444,333333;36965;-31404;10846;5469;645
Data 140;29106;44137;53499;42247,33333;-35957;42599;33572;13404,66667;-41747
Data 141;28620;-1534;-31555;-1489,666667;8932;-12576;-61276;-21640;-34716
Data 142;-29992;-6764;-60907;-32554,33333;-59441;42773;34659;5997;52683
Data 143;-2786;-26168;-63859;-30937,66667;17749;-51483;46257;4174,333333;-48318
Data 144;55388;61176;-39497;25689;39610;-53585;-52900;-22291,66667;-61161
Data 145;5192;42731;-46934;329,6666667;4927;-57440;-4349;-18954;17080
Data 146;-702;63033;42587;34972,66667;65458;21196;38022;41558,66667;39579
Data 147;-27159;34016;48325;18394;57053;19120;-28645;15842,66667;23432
Data 148;-27573;-55804;47088;-12096,33333;53850;19337;-17885;18434;-7068
Data 149;-25091;-21258;42292;-1352,333333;28208;-45474;15406;-620;52500
Data 150;-903;-17253;16714;-480,6666667;-36757;-42955;-16254;-31988,66667;7062
Data 151;60609;21648;5737;29331,33333;21516;-34292;22682;3302;-29290
Data 152;27987;7838;36773;24199,33333;-61296;-48764;48234;-20608,66667;-13713
Data 153;14345;41900;-11928;14772,33333;51031;64196;48971;54732,66667;5429
Data 154;51720;32685;-53220;10395;-37266;634;3620;-11004;29161
Data 155;56243;-50744;15389;6962,666667;-41432;-63066;42573;-20641,66667;-62284
Data 156;41136;18302;-50463;2991,666667;40780;2658;-29224;4738;-54941
Data 157;37083;-33485;61947;21848,33333;-48560;6835;43386;553,6666667;-63710
Data 158;27763;-64624;-48618;-28493;3943;65042;19082;29355,66667;-64604
Data 159;8945;-185;20042;9600,666667;63776;-46768;-54713;-12568,33333;-55635
Data 160;-36721;64634;-51962;-8016,333333;51281;56983;23785;44016,33333;-13178
Data 161;3647;-37178;-65036;-32855,66667;46667;-28385;30502;16261,33333;28245
Data 162;47968;-55254;-22639;-9975;17498;19179;35503;24060;-55106
Data 163;-19998;-39327;19136;-13396,33333;-8542;16905;54126;20829,66667;-62821
Data 164;-5097;-6316;65194;17927;-32624;44859;1788;4674,333333;-21728
Data 165;-22487;-41973;-64274;-42911,33333;49786;56274;-24107;27317,66667;-32641
Data 166;7682;-23555;40405;8177,333333;58454;-28645;-50981;-7057,333333;37841
Data 167;-35466;56712;53158;24801,33333;36283;32053;-43931;8135;59456
Data 168;-20389;-27504;19246;-9549;-62333;50421;-34937;-15616,33333;-56320
Data 169;-6595;32019;-44608;-6394,666667;-14695;10471;-35661;-13295;-33575
Data 170;-23005;7396;-16372;-10660,33333;45303;-28939;60563;25642,33333;40436
Data 171;-36083;39294;-8307;-1698,666667;20895;49700;-1079;23172;28402
Data 172;32809;-63063;-47809;-26021;-21973;63037;-4234;12276,66667;60976
Data 173;54825;-54193;19601;6744,333333;-4919;-25578;1820;-9559;40216
Data 174;26165;-26607;-42432;-14291,33333;-48073;-61793;-60800;-56888,66667;14140
Data 175;-16414;20986;33231;12601;1443;51509;50945;34632,33333;-53975
Data 176;25651;-20616;23489;9508;40908;42730;-5766;25957,33333;-16278
Data 177;-24515;60577;15197;17086,33333;16964;57407;4095;26155,33333;-63569
Data 178;-58782;-38991;-37807;-45193,33333;-44864;-40872;-33984;-39906,66667;-42192
Data 179;15897;2006;10825;9576;-60023;12976;-21798;-22948,33333;-21438
Data 180;-27695;46285;59443;26011;15948;31677;-22034;8530,333333;63563
Data 181;-44114;26208;50416;10836,66667;-3778;61732;-54653;1100,333333;25410
Data 182;862;-61524;37482;-7726,666667;-3114;21241;-23686;-1853;65439
Data 183;56714;46402;15275;39463,66667;53539;-53591;50973;16973,66667;-30716
Data 184;-6417;34448;-13639;4797,333333;33807;-48828;3830;-3730,333333;28770
Data 185;-5024;3858;3835;889,6666667;-26209;55943;-15460;4758;-51867
Data 186;61500;52495;23295;45763,33333;-60379;-45633;48246;-19255,33333;63124
Data 187;-19651;-39816;24701;-11588,66667;44729;7698;-35219;5736;35333
Data 188;64685;-2579;33438;31848;-42656;-11354;-54145;-36051,66667;-53762
Data 189;27042;17694;-53061;-2775;60054;56752;49296;55367,33333;8366
Data 190;39109;54042;40180;44443,66667;51269;26200;41746;39738,33333;20763
Data 191;29433;-48719;-61711;-26999;7284;-30134;23034;61,33333333;-13875
Data 192;25430;45758;-16983;18068,33333;12396;8545;6640;9193,666667;-26998
Data 193;-25787;-18493;36623;-2552,333333;-58983;-34787;-57704;-50491,33333;-25280
Data 194;-28848;-50711;39317;-13414;-5139;-64434;61927;-2548,666667;15630
Data 195;-47631;-59263;23107;-27929;6326;-25831;1657;-5949,333333;-62107
Data 196;-15887;-48119;-31243;-31749,66667;60252;52458;52674;55128;-30168
Data 197;-35987;55230;10034;9759;17174;48138;27576;30962,66667;-20005
Data 198;-49368;57400;49153;19061,66667;-50973;21587;-19275;-16220,33333;2271
Data 199;-52736;52614;32214;10697,33333;39842;35435;-19807;18490;50022
Data 200;19296;49823;-8037;20360,66667;11845;6106;12686;10212,33333;22125
Data 201;55329;-9776;61460;35671;27754;-13995;19943;11234;-34744
Data 202;6407;-41452;-36492;-23845,66667;-32706;65460;24154;18969,33333;-18485
Data 203;-3212;173;-26367;-9802;-35007;-46282;-44976;-42088,33333;-27959
Data 204;-65510;-17660;64289;-6293,666667;15865;28810;41449;28708;-14880
Data 205;-17448;-4186;7667;-4655,666667;24089;-52121;-22299;-16777;12984
Data 206;-36858;-19790;26480;-10056;-57062;23908;-53791;-28981,66667;-34025
Data 207;-57361;-64760;12087;-36678;-64979;30598;-17069;-17150;-16771
Data 208;14094;-40212;19119;-2333;22964;-27521;26281;7241,333333;-44298
Data 209;-19567;-26128;-37200;-27631,66667;-59998;-54478;21030;-31148,66667;-48507
Data 210;46943;-12306;-10243;8131,333333;-22403;-1285;55000;10437,33333;-16444
Data 211;-1183;12845;-25612;-4650;34060;46377;-18441;20665,33333;-40245
Data 212;-38848;38791;-46801;-15619,33333;-11978;-42847;-36457;-30427,33333;-38643
Data 213;49936;-19842;-34697;-1534,333333;26024;60997;1200;29407;27052
Data 214;20535;36262;60471;39089,33333;32498;-46973;-1149;-5208;48275
Data 215;-61463;39538;46761;8278,666667;-972;22418;62341;27929;-8286
Data 216;-34121;59025;-56002;-10366;-14741;28603;33795;15885,66667;-12275
Data 217;-26372;-48504;-55497;-43457,66667;-45682;19831;56432;10193,66667;-5078
Data 218;-35901;-44533;3386;-25682,66667;60371;-62445;42366;13430,66667;-46689
Data 219;-7835;6063;53291;17173;-1021;36001;5149;13376,33333;-135
Data 220;46489;-11941;-60222;-8558;40838;-20279;-54793;-11411,33333;38416
Data 221;15695;61740;58991;45475,33333;48574;-61384;-31448;-14752,66667;48032
Data 222;34650;-32460;12219;4803;53102;9900;-29772;11076,66667;-60962
Data 223;17649;39843;-46494;3666;-25215;-44396;31759;-12617,33333;-63923
Data 224;54650;-29559;-39130;-4679,666667;31886;54235;9112;31744,33333;-55686
Data 225;36415;-10689;9134;11620;4894;55161;38838;32964,33333;-44685
Data 226;-18427;1634;59235;14147,33333;-29595;19214;43659;11092,66667;27398
Data 227;12891;-42876;-20309;-16764,66667;-4846;25494;-17003;1215;50154
Data 228;14267;-30279;-49295;-21769;-16816;-55;-51257;-22709,33333;-19804
Data 229;42089;-31823;34099;14788,33333;24048;14847;-32281;2204,666667;-38421
Data 230;50697;35858;-38686;15956,33333;14610;56232;8513;26451,66667;62938
Data 231;52704;22925;64310;46646,33333;-45455;-37160;21714;-20300,33333;51084
Data 232;87;43913;40216;28072;-10453;7425;54554;17175,33333;-56379
Data 233;29251;5435;12701;15795,66667;50383;-43821;-38596;-10678;61544
Data 234;7549;38565;13389;19834,33333;-22452;24546;-53610;-17172;-28696
Data 235;26106;10825;19505;18812;13498;9457;25882;16279;-58191
Data 236;-2182;-42962;-53101;-32748,33333;-61190;-24972;62857;-7768,333333;-41312
Data 237;-21227;-60257;10969;-23505;-11502;38431;-1462;8489;-58389
Data 238;62255;-21805;-13446;9001,333333;-14539;-15795;8813;-7173,666667;35224
Data 239;14330;-38277;-12243;-12063,33333;25843;-13312;55996;22842,33333;-138
Data 240;48829;-33760;-15325;-85,33333333;-21160;-53849;-62271;-45760;-36212
Data 241;7779;23756;27903;19812,66667;-49653;44691;-63064;-22675,33333;-21014
Data 242;50712;-20055;1708;10788,33333;-36964;65471;21349;16618,66667;-40136
Data 243;3959;22977;-51901;-8321,666667;7721;-22786;-28606;-14557;-47835
Data 244;-19268;38041;-13421;1784;21000;35009;-45521;3496;-43560
Data 245;-16273;-41662;-48440;-35458,33333;-29690;3614;42242;5388,666667;-59782
Data 246;-55149;19060;-14087;-16725,33333;57413;11009;15429;27950,33333;27466
Data 247;-51526;-43958;-40754;-45412,66667;-51423;-57399;18391;-30143,66667;46480
Data 248;-49777;669;35655;-4484,333333;-57640;8364;41044;-2744;-24748
Data 249;-41134;-10818;-17440;-23130,66667;38797;-37777;50408;17142,66667;-41993
Data 250;40946;-10388;8647;13068,33333;-62248;-2164;-39477;-34629,66667;-61095
Data 251;34057;-53904;-8356;-9401;36582;-28792;34108;13966;41507
Data 252;6284;-62088;-11544;-22449,33333;60707;-63896;16318;4376,333333;8949
Data 253;27326;34334;30948;30869,33333;-42706;25249;13879;-1192,666667;40145
Data 254;7941;-60439;-7347;-19948,33333;6877;12836;29256;16323;-11338
Data 255;22430;28785;29903;27039,33333;38941;10536;26872;25449,66667;55870
Data 256;28996;10290;-20960;6108,666667;38475;46593;-54188;10293,33333;59983
Data 257;62665;59624;45967;56085,33333;-6784;-16847;-8905;-10845,33333;-3619
Data 258;-6630;20347;-41895;-9392,666667;48442;22744;18679;29955;37911
Data 259;53421;53905;-59298;16009,33333;29336;-28226;29513;10207,66667;-63266
Data 260;-14595;41809;-60004;-10930;64593;-28635;-4879;10359,66667;-51241
Data 261;-33842;22169;9115;-852,6666667;-15579;-56864;61763;-3560;18401
Data 262;-16012;-17702;-8859;-14191;62378;-58996;1263;1548,333333;-23780
Data 263;53884;-64257;-28018;-12797;39037;-43764;-1885;-2204;3297
Data 264;14455;-18787;-65409;-23247;-31221;36818;-51182;-15195;10516
Data 265;18680;-57148;12649;-8606,333333;45627;-14451;32276;21150,66667;36013
Data 266;60924;17443;-41244;12374,33333;11239;-5571;-53077;-15803;65383
Data 267;1991;21177;22396;15188;61577;-50876;-30689;-6662,666667;-57373
Data 268;-17228;-34598;42287;-3179,666667;-49374;-2162;-27823;-26453;-43952
Data 269;35537;-38797;-25338;-9532,666667;-11380;-30495;23984;-5963,666667;34910
Data 270;15217;-18853;61683;19349;59918;-33218;11213;12637,66667;39912
Data 271;-43755;-59269;7717;-31769;-51921;-64489;-39516;-51975,33333;-62974
Data 272;-32362;-11319;-51321;-31667,33333;-56482;-47253;1302;-34144,33333;65046
Data 273;-43020;-15944;-15661;-24875;38445;-60074;-47312;-22980,33333;64768
Data 274;35022;-19529;8043;7845,333333;25206;60087;-15230;23354,33333;64429
Data 275;-17990;64168;3654;16610,66667;-48578;30736;-27596;-15146;19337
Data 276;59218;13660;-59295;4527,666667;14723;-61980;30255;-5667,333333;13603
Data 277;-18907;15870;58442;18468,33333;-313;64710;12949;25782;15108
Data 278;42512;22126;17219;27285,66667;17469;25140;-51090;-2827;-34536
Data 279;-31491;-47031;-21770;-33430,66667;39462;44754;-42855;13787;-62883
Data 280;53745;-32461;52511;24598,33333;-45033;4758;22659;-5872;-6787
Data 281;-30356;6366;-42625;-22205;16248;-45622;-57395;-28923;-4168
Data 282;-31549;4763;-1785;-9523,666667;22390;99;61612;28033,66667;-20313
